Indicator ID,Domain,Subdomain,Indicator Title,Description,Unit,IndicatorType,Target,Baseline,Current,Year,Total,Disaggregation Category,Disaggregation Value,Percentage,Methodology,DataSources,TargetMethod
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2566,0.7,age group,15-19 ปี,2.9,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 110,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2566,0.7,age group,20-24 ปี,5.3,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 111,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2566,0.7,age group,25-29 ปี,1.4,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 112,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2566,0.7,age group,30-34 ปี,0.9,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 113,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2566,0.7,age group,35-39 ปี,0.5,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 114,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2566,0.7,age group,40-49 ปี,0.2,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 115,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2566,0.7,age group,50-59 ปี,0.4,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 116,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2566,0.7,age group,60 ขึ้นไป,0,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 117,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2565,1.2,age group,15-19 ปี,5,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 118,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2565,1.2,age group,20-24 ปี,6.7,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 119,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2565,1.2,age group,25-29 ปี,2.4,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 120,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2565,1.2,age group,30-34 ปี,1.5,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 121,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2565,1.2,age group,35-39 ปี,0.9,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 122,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2565,1.2,age group,40-49 ปี,0.6,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 123,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2565,1.2,age group,50-59 ปี,0.1,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 124,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2565,1.2,age group,60 ขึ้นไป,0.2,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 125,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2564,2.1,age group,15-19 ปี,3.3,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 126,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2564,2.1,age group,20-24 ปี,9.3,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 127,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2564,2.1,age group,25-29 ปี,3.1,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 128,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2564,2.1,age group,30-34 ปี,3,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 129,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2564,2.1,age group,35-39 ปี,1.5,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 130,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2564,2.1,age group,40-49 ปี,1,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 131,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2564,2.1,age group,50-59 ปี,1.4,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 132,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2564,2.1,age group,60 ขึ้นไป,0.7,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 133,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2563,2.4,age group,15-19 ปี,8.3,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 134,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2563,2.4,age group,20-24 ปี,8.6,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 135,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2563,2.4,age group,25-29 ปี,3,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 136,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2563,2.4,age group,30-34 ปี,3.3,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 137,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2563,2.4,age group,35-39 ปี,1.7,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 138,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2563,2.4,age group,40-49 ปี,1.6,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 139,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2563,2.4,age group,50-59 ปี,1.5,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 140,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2563,2.4,age group,60 ขึ้นไป,0.3,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 141,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2562,0.6,age group,15-19 ปี,5.7,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 142,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2562,0.6,age group,20-24 ปี,3.6,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 143,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2562,0.6,age group,25-29 ปี,1.1,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 144,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2562,0.6,age group,30-34 ปี,0.2,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 145,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2562,0.6,age group,35-39 ปี,0.6,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 146,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2562,0.6,age group,40-49 ปี,0.3,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 147,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-02,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราส่วนการจ้างงานต่อประชากร,,%,direct,78,73.9,73.9,2023,73.9,,,,,,
ECON-03,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการจ้างงานที่ไม่มั่นคงต่อการจ้างงานทั้งหมด,,%,Reverse,0.14,23.8,23.8,2023,23.8,,,,,,
ECON-04,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,สัดส่วนของเด็กอายุ 5-17 ปี ที่เป็นแรงงานเด็ก,,%,Reverse,0,1.84,1.84,2023,1.84,,,,,,
ECON-05,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราค่าจ้างรายชั่วโมง,,บาท,Direct,84,88.7,88.7,2023,88.7,,,,,,
ECON-06,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,"อัตราความถี่ของการบาดเจ็บร้ายแรงจากการทำงาน ต่อแรงงาน 100,000 คน",,"per 100,000",Reverse,0,1.9,1.9,2023,1.9,,,,,,
ECON-07,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,"อัตราความถี่ของการบาดเจ็บไม่ร้ายแรงจากการทำงาน ต่อแรงงาน 1,000 คน",,"per 1,000",Reverse,0,3.3,3.3,2023,3.3,,,,,,
ECON-08,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),ความไม่มั่นคงทางอาหาร,ความชุกของภาวะขาดสารอาหาร ระดับปานกลาง โดยใช้ Food Insecurity Experience Scale (FIES),,%,Reverse,0,9.08,9.08,2023,9.08,,,,,,
ECON-09,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),ความไม่มั่นคงทางอาหาร,ความชุกของภาวะขาดสารอาหาร ระดับรุนแรง โดยใช้ Food Insecurity Experience Scale (FIES),,%,Reverse,0,1.74,1.74,2023,1.74,,,,,,
ECON-10,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),ความเหลื่อมล้ำทางรายได้,สัมประสิทธิ์ความไม่เสมอภาค (Gini coefficient),,,Reverse,28,22.3,22.3,2023,22.3,,,,,,
ECON-11,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),ความเหลื่อมล้ำทางรายได้,อัตราการเติบโตของการใช้จ่ายในครัวเรือนหรือรายได้ต่อหัว ในกลุ่มประชากรร้อยละ 40 ที่มีรายได้ต่ำสุดและในกลุ่มประชากรทั้งหมด,,%,Direct,,,,,,,,,,,
ECON-12,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),ความยากจน,สัดส่วนของประชากรที่อยู่ต่ำกว่าเส้นความยากจนของสากล,,%,Reverse,0,0,0,2023,0,,,,,,
ECON-13,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),ความยากจน,สัดส่วนของประชากรที่อยู่ต่ำกว่าเส้นความยากจนของประเทศ,,%,Reverse,0,1.4,1.4,2023,1.4,,,,,,
ECON-14,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),ความยากจน,สัดส่วนของประชากรในทุกช่วงวัยที่ยากจนในทุกมิติ,,%,Reverse,0,1,1,2023,1,,,,,,
ECON-15,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),ความยากจน,สัดส่วนครัวเรือนที่ยากจนในทุกมิติ,,%,Reverse,,,,,,,,,,,
16,การศึกษา (Education),การเข้าถึงการศึกษา,อัตราการเข้าเรียนปฐมวัย (อย่างน้อย 1 ปี ก่อนถึงเกณฑ์อายุเข้าเรียนประถมศึกษา),,%,Direct,100,89.9,89.9,2023,89.9,,,,,,
17,การศึกษา (Education),การเข้าถึงการศึกษา,อัตราการเข้าเรียนสุทธิ (อนุบาล ประถมศึกษา มัธยมศึกษา),,%,Direct,100,95.5,95.5,2023,95.5,,,,,,
18,การศึกษา (Education),การเข้าถึงการศึกษา,อัตราการเข้าเรียนของเยาวชนและผู้ใหญ่ ทั้งในระบบ นอกระบบการศึกษา รวมทั้งการฝึกอบรม,,%,Direct,,,,,,,,,,,
19,การศึกษา (Education),คุณภาพการศึกษา,อัตราส่วนนักเรียน/ครูที่มีคุณวุฒิ,,%,Reverse,14.76,19,19,2023,19,,,,,,
20,การศึกษา (Education),คุณภาพการศึกษา,สัดส่วนของครูที่มีคุณวุฒิเหมาะสมในการจัดการศึกษาพื้นฐาน,,%,Direct,98.55,100,100,2023,100,,,,,,
21,การศึกษา (Education),ผลลัพธ์ทางการศึกษา,สัดส่วนของเด็กอายุ 24- 59 เดือน ที่มีพัฒนาการทางด้านสุขภาพ การเรียนรู้ และสุขภาวะทางจิตสังคมเป็นไปตามเกณฑ์ (%),,%,Direct,100,85.3,85.3,2023,85.3,,,,,,
22,การศึกษา (Education),ผลลัพธ์ทางการศึกษา,สัดส่วนของเด็ก/เยาวชนใน (ก) ป.3 ที่มีความสามารถตามเกณฑ์ขั้นต่ำเป็นอย่างน้อย ใน (1) ด้านการอ่าน และ (2) ด้านคณิตศาสตร์ หรือการคิดคำนวณ (%),,%,Direct,100,64.62,64.62,2023,64.62,,,,,,
23,การศึกษา (Education),ผลลัพธ์ทางการศึกษา,สัดส่วนของเด็ก/เยาวชนใน (ข) ป.6 ที่มีความสามารถตามเกณฑ์ขั้นต่ำเป็นอย่างน้อย ใน (1) ด้านการอ่าน,,%,Direct,100,64.24,64.24,2023,64.24,,,,,,
24,การศึกษา (Education),ผลลัพธ์ทางการศึกษา,สัดส่วนของเด็ก/เยาวชนใน (ข) ป.6 ที่มีความสามารถตามเกณฑ์ขั้นต่ำเป็นอย่างน้อย ใน (2) ด้านคณิตศาสตร์ หรือการคิดคำนวณ (%),,%,Direct,100,30.28,30.28,2023,30.28,,,,,,
